iter	R2	RMSE
99	0.9864240149	51.67508048
100	0.9866365791	51.26893662
101	0.9867775403	50.99781994
102	0.9869400017	50.68355235
103	0.9870299333	50.50874652
104	0.9871374615	50.29893967
105	0.9873806099	49.82125564
106	0.9875490801	49.4875788
107	0.9876410695	49.30442868
108	0.9877611678	49.0642852
109	0.9879364668	48.71163959
110	0.9880320631	48.51825038
111	0.9882100137	48.15619192
112	0.9883254669	47.91982748
113	0.9884377037	47.68892503
114	0.9885902702	47.3732484
115	0.9886446968	47.26012368
116	0.9887510629	47.03825814
117	0.988872746	46.78315295
118	0.9889601901	46.5989663
119	0.9890370292	46.43651459
120	0.9891752513	46.1428481
121	0.9892753145	45.92908233
122	0.9893414182	45.78731706
123	0.9894476995	45.55846276
124	0.989542614	45.35310806
125	0.9897082584	44.99247899
126	0.9897865193	44.82108574
127	0.9898670997	44.64392504
128	0.9899464996	44.46866945
129	0.9900243197	44.2962281
130	0.9901099111	44.10578776
131	0.9901793311	43.95072276
132	0.9902506312	43.7908863
133	0.9903124672	43.65179212
134	0.9903965836	43.46186586
135	0.9904937523	43.24143022
136	0.9905791962	43.04666048
137	0.9906365459	42.915436
138	0.9907096133	42.74766342
139	0.9907743048	42.59857167
140	0.9908524847	42.41769436
141	0.9908997951	42.30786116
142	0.9909961505	42.08328184
143	0.9910379166	41.98556246
144	0.9911242781	41.78277963
145	0.991160801	41.69672456
146	0.9912051279	41.59204273
147	0.9912962248	41.37607779
148	0.9913567745	41.23190568
149	0.9914459394	41.0186768
150	0.9914902915	40.91219944
151	0.9915669648	40.72747095
152	0.9916362728	40.55976359
153	0.9917007672	40.40307874
154	0.9917660535	40.24384868
155	0.9918209459	40.10947955
156	0.9918674098	39.99538941
157	0.9919019182	39.91044458
158	0.9919470997	39.79895297
159	0.9919705878	39.7408694
160	0.9920110407	39.64063397
161	0.9920670769	39.50136546
162	0.9921376397	39.32529203
163	0.9921649585	39.25691213
164	0.9922346558	39.08191561
165	0.9922707878	38.99088588
166	0.9923291405	38.84342362
167	0.9923562087	38.77482956
168	0.9924283863	38.59132674
169	0.9924576392	38.51670584
170	0.992513315	38.37428222
171	0.992575039	38.21576656
172	0.9926204332	38.09876696
173	0.9926797897	37.94523671
174	0.9927112499	37.86360986
175	0.9927640963	37.72609672
176	0.9928143863	37.59476879
177	0.9928429351	37.52001147
178	0.9928887955	37.39960967
179	0.992927821	37.29684614
180	0.9929440438	37.2540442
181	0.9929791274	37.16131159
182	0.9930112537	37.07619198
183	0.9930793845	36.89502827
184	0.9930994194	36.84158459
185	0.9931512234	36.70303583
186	0.9931793233	36.62766362
187	0.9932095024	36.54654171
188	0.9932490621	36.43993068
189	0.9932876938	36.33551894
190	0.9933292071	36.22298328
191	0.9933576034	36.14580393
192	0.9933805218	36.08339252
193	0.9934124661	35.99622162
194	0.993438693	35.92449452
195	0.9934725571	35.83166819
196	0.993497466	35.76323549
197	0.9935347033	35.66068799
198	0.9935638005	35.58035141
199	0.9935893232	35.50973464
200	0.9936270986	35.40495805
201	0.9936459117	35.35266112
202	0.9936651605	35.29907245
203	0.993689161	35.23214098
204	0.9937294784	35.11941883
205	0.9937537607	35.05135375
206	0.993773212	34.99673482
207	0.99379541	34.93429869
208	0.9938118296	34.88804377
209	0.9938566275	34.7615322
210	0.9938875925	34.67381578
211	0.9939227989	34.57381384
212	0.9939600829	34.4675945
213	0.993974356	34.42684471
214	0.9940089507	34.32787608
215	0.9940263606	34.27796146
216	0.99405659	34.19112043
217	0.9940779458	34.12963734
218	0.9941022228	34.05960975
219	0.9941383682	33.95507968
220	0.9941563256	33.90302823
221	0.9941807272	33.83216923
222	0.9941997529	33.77681809
223	0.9942300663	33.68843984
224	0.9942553085	33.61466906
225	0.9942995529	33.48497252
226	0.9943278684	33.40170481
227	0.9943523647	33.32950085
228	0.9943666042	33.28745713
229	0.9943956703	33.20147088
230	0.9944096549	33.1600208
231	0.9944298117	33.10018535
232	0.9944592767	33.01252312
233	0.9945073127	32.86910846
234	0.9945255036	32.81463467
235	0.9945438774	32.75952128
236	0.9945565752	32.72137909
237	0.9945706096	32.67917021
238	0.9946006198	32.58873044
239	0.9946194408	32.5318825
240	0.9946417629	32.4643303
241	0.9946779804	32.35442772
242	0.9946956426	32.30069569
243	0.9947248836	32.21154171
244	0.9947552705	32.11863139
245	0.9947680401	32.07950717
246	0.9947827366	32.03442014
247	0.9947979	31.98783415
248	0.9948240767	31.90725191
249	0.9948347534	31.87432637
250	0.9948457081	31.84050825
251	0.9948561022	31.80838737
252	0.9948805584	31.73268213
253	0.9949019736	31.66624202
254	0.9949271196	31.5880487
255	0.9949405706	31.54614231
256	0.9949553498	31.50003356
257	0.9949693623	31.45625425
